2022-07-22 00|32|4|45,100|27,300|95,000
2022-07-22 01|32|4|45,100|27,300|95,000
2022-07-22 02|32|4|45,100|27,300|95,000
2022-07-22 03|32|4|45,100|27,300|95,000
2022-07-22 04|32|4|45,100|27,300|95,000
2022-07-22 05|32|4|45,100|27,300|95,000
2022-07-22 06|32|4|45,100|27,300|95,000
2022-07-22 07|32|4|45,100|27,300|95,000
2022-07-22 08|32|4|45,100|27,300|95,000
2022-07-22 09|32|4|45,100|27,300|95,000
2022-07-22 10|32|4|45,100|27,300|95,000
2022-07-22 11|32|4|45,100|27,300|95,000
2022-07-22 12|32|4|45,100|27,300|95,000
2022-07-22 13|32|4|45,100|27,300|95,000
2022-07-22 14|32|4|45,100|27,300|95,000
2022-07-22 15|32|4|45,100|27,300|95,000
2022-07-22 16|32|4|45,100|27,300|95,000
2022-07-22 17|32|4|45,100|27,300|95,000
2022-07-22 18|32|4|45,100|27,300|95,000
2022-07-22 19|32|4|45,100|27,300|95,000
2022-07-22 20|32|4|45,100|27,300|95,000
2022-07-22 21|32|4|45,100|27,300|95,000
2022-07-22 22|32|4|45,100|27,300|95,000
2022-07-22 23|32|4|45,100|27,300|95,000
